Kanji	Furigana	Romaji	Meaning
所謂	いわゆる	iwayuru	what is called
邪魔	じゃま	jama	hindrance
化学	かがく	kagaku	chemistry
会	かい	kai	meeting
会員	かいいん	kai'in	member
海外	かいがい	kaigai	foreign
会合	かいごう	kaigou	meeting
会計	かいけい	kaikei	finance
開始	かいし	kaishi	start
科目	かもく	kamoku	(school) subject
権利	けんり	kenri	right
基本	きほん	kihon	basics
記事	きじ	kiji	article
気味	きみ	kimi	sensation
記念	きねん	kinen	commemoration
気に入る	きにいる	kiniiru	to like
記入	きにゅう	kinyuu	entry
記憶	きおく	kioku	memory
記者	きしゃ	kisha	reporter
期待	きたい	kitai	expectation
国家	こっか	kokka	state
国会	こっかい	kokkai	National Diet
国境	こっきょう	kokkyou	national border
国語	こくご	kokugo	national language
今後	こんご	kongo	from now on
今回	こんかい	konkai	now
今日	こんにち	konnichi	today
転ぶ	ころぶ	korobu	to fall down
高速	こうそく	kousoku	high-speed
訓練	くんれん	kunren	training
教科書	きょうかしょ	kyoukasho	textbook
協力	きょうりょく	kyouryoku	cooperation
強力	きょうりょく	kyouryoku	powerful
急激	きゅうげき	kyuugeki	sudden
急に	きゅうに	kyuuni	swiftly
吸収	きゅうしゅう	kyuushuu	absorption
真面目	まじめ	majime	serious
真っ赤	まっか	makka	bright red
学ぶ	まなぶ	manabu	to study (in depth)
万一	まんいち	manichi	emergency
満足	まんぞく	manzoku	satisfaction
明確	めいかく	meikaku	clear
飯	めし	meshi	cooked rice
味方	みかた	mikata	friend
魅力	みりょく	miryoku	charm
木曜	もくよう	mokuyou	Thursday
半ば	なかば	nakaba	middle
熱心	ねっしん	nesshin	enthusiastic
日本	にほん	nihon	Japan
能力	のうりょく	nouryoku	ability
入場	にゅうじょう	nyuujou	entrance
お昼	おひる	ohiru	lunch
収める	おさめる	osameru	to supply
連続	れんぞく	renzoku	continuation
利益	りえき	rieki	profit
利口	りこう	rikou	clever
留学	りゅうがく	ryuugaku	studying abroad
作品	さくひん	sakuhin	work of art
左右	さゆう	sayuu	left and right
成長	せいちょう	seichou	growth
製品	せいひん	seihin	manufactured goods
青年	せいねん	seinen	youth
刺激	しげき	shigeki	stimulus
資本	しほん	shihon	funds
品	しな	shina	article
身長	しんちょう	shinchou	body height
新鮮	しんせん	shinsen	fresh
支店	してん	shiten	branch office
使用	しよう	shiyou	use
食品	しょくひん	shokuhin	food
書物	しょもつ	shomotsu	book
書類	しょるい	shorui	document
書斎	しょさい	shosai	study
商売	しょうばい	shoubai	trade
奨学金	しょうがくきん	shougakukin	scholarship
正午	しょうご	shougo	midday
商品	しょうひん	shouhin	commodity
少女	しょうじょ	shoujo	little girl
証明	しょうめい	shoumei	proof
少年	しょうねん	shounen	boy
少々	しょうしょう	shoushou	just a minute
招待	しょうたい	shoutai	invitation
週	しゅう	shuu	week
集中	しゅうちゅう	shuuchuu	concentration
集団	しゅうだん	shuudan	group
収穫	しゅうかく	shuukaku	harvest
週間	しゅうかん	shuukan	week
週刊	しゅうかん	shuukan	weekly publication
収入	しゅうにゅう	shuunyuu	income
速度	そくど	sokudo	speed
少しも	すこしも	sukoshimo	anything of
大半	たいはん	taihan	majority
大会	たいかい	taikai	convention
大した	たいした	taishita	considerable
単なる	たんなる	tannaru	mere
多少	たしょう	tashou	more or less
手品	てじな	tejina	magic trick
哲学	てつがく	tetsugaku	philosophy
土地	とち	tochi	plot of land
都会	とかい	tokai	(big) city
取れる	とれる	toreru	to come off
取り上げる	とりあげる	toriageru	to pick up
図書	としょ	tosho	books
通学	つうがく	tsuugaku	commuting to school
受け取る	うけとる	uketoru	to receive
上手い	うまい	umai	skillful
運転	うんてん	unten	operation
売れる	うれる	ureru	to sell (well)
分ける	わける	wakeru	to divide
悪口	わるぐち	waruguchi	slander
夜明け	よあけ	yoake	dawn
余分	よぶん	yobun	extra
夜中	よなか	yonaka	middle of the night
宜しい	よろしい	yoroshii	(respectful) OK
唯一	ゆいいつ	yuiitsu	only
輸入	ゆにゅう	yunyuu	import
輸出	ゆしゅつ	yushutsu	export
有利	ゆうり	yuuri	advantageous
全国	ぜんこく	zenkoku	the whole country
随分	ずいぶん	zuibun	very
